tip,total_bill,size
1.01,16.99,2
1.66,10.34,3
3.5,21.01,3
3.31,23.68,2
3.61,24.59,4
4.71,25.29,4
2,8.77,2
3.12,26.88,4
1.96,15.04,2
3.23,14.78,2
1.71,10.27,2
5,35.26,4
1.57,15.42,2
3,18.43,4
3.02,14.83,2
3.92,21.58,2
1.67,10.33,3
3.71,16.29,3
3.5,16.97,3
3.35,20.65,3
4.08,17.92,2
2.75,20.29,2
2.23,15.77,2
7.58,39.42,4
3.18,19.82,2
2.34,17.81,4
2,13.37,2
2,12.69,2
4.3,21.7,2
3,19.65,2
1.45,9.55,2
2.5,18.35,4
3,15.06,2
2.45,20.69,4
3.27,17.78,2
3.6,24.06,3
2,16.31,3
3.07,16.93,3
2.31,18.69,3
5,31.27,3
2.24,16.04,3
2.54,17.46,2
3.06,13.94,2
1.32,9.68,2
5.6,30.4,4
3,18.29,2
5,22.23,2
6,32.4,4
2.05,28.55,3
3,18.04,2
2.5,12.54,2
2.6,10.29,2
5.2,34.81,4
1.56,9.94,2
4.34,25.56,4
3.51,19.49,2
3,38.01,4
1.5,26.41,2
1.76,11.24,2
6.73,48.27,4
3.21,20.29,2
2,13.81,2
1.98,11.02,2
3.76,18.29,4
2.64,17.59,3
3.15,20.08,3
2.47,16.45,2
1,3.07,1
2.01,20.23,2
2.09,15.01,2
1.97,12.02,2
3,17.07,3
3.14,26.86,2
5,25.28,2
2.2,14.73,2
1.25,10.51,2
3.08,17.92,2
4,27.2,4
3,22.76,2
2.71,17.29,2
3,19.44,2
3.4,16.66,2
1.83,10.07,1
5,32.68,2
2.03,15.98,2
5.17,34.83,4
2,13.03,2
4,18.28,2
5.85,24.71,2
3,21.16,2
3,28.97,2
3.5,22.49,2
1,5.75,2
4.3,16.32,2
3.25,22.75,2
4.73,40.17,4
4,27.28,2
1.5,12.03,2
3,21.01,2
1.5,12.46,2
2.5,11.35,2
3,15.38,2
2.5,44.3,3
3.48,22.42,2
4.08,20.92,2
1.64,15.36,2
4.06,20.49,2
4.29,25.21,2
3.76,18.24,2
4,14.31,2
3,14,2
1,7.25,1
4,38.07,3
2.55,23.95,2
4,25.71,3
3.5,17.31,2
5.07,29.93,4
1.5,10.65,2
1.8,12.43,2
2.92,24.08,4
2.31,11.69,2
1.68,13.42,2
2.5,14.26,2
2,15.95,2
2.52,12.48,2
4.2,29.8,6
1.48,8.52,2
2,14.52,2
2,11.38,2
2.18,22.82,3
1.5,19.08,2
2.83,20.27,2
1.5,11.17,2
2,12.26,2
3.25,18.26,2
1.25,8.51,2
2,10.33,2
2,14.15,2
2,16,2
2.75,13.16,2
3.5,17.47,2
6.7,34.3,6
5,41.19,5
5,27.05,6
2.3,16.43,2
1.5,8.35,2
1.36,18.64,3
1.63,11.87,2
1.73,9.78,2
2,7.51,2
2.5,14.07,2
2,13.13,2
2.74,17.26,3
2,24.55,4
2,19.77,4
5.14,29.85,5
5,48.17,6
3.75,25,4
2.61,13.39,2
2,16.49,4
3.5,21.5,4
2.5,12.66,2
2,16.21,3
2,13.81,2
3,17.51,2
3.48,24.52,3
2.24,20.76,2
4.5,31.71,4
1.61,10.59,2
2,10.63,2
10,50.81,3
3.16,15.81,2
5.15,7.25,2
3.18,31.85,2
4,16.82,2
3.11,32.9,2
2,17.89,2
2,14.48,2
4,9.6,2
3.55,34.63,2
3.68,34.65,4
5.65,23.33,2
3.5,45.35,3
6.5,23.17,4
3,40.55,2
5,20.69,5
3.5,20.9,3
2,30.46,5
3.5,18.15,3
4,23.1,3
1.5,15.69,2
4.19,19.81,2
2.56,28.44,2
2.02,15.48,2
4,16.58,2
1.44,7.56,2
2,10.34,2
5,43.11,4
2,13,2
2,13.51,2
4,18.71,3
2.01,12.74,2
2,13,2
2.5,16.4,2
4,20.53,4
3.23,16.47,3
3.41,26.59,3
3,38.73,4
2.03,24.27,2
2.23,12.76,2
2,30.06,3
5.16,25.89,4
9,48.33,4
2.5,13.27,2
6.5,28.17,3
1.1,12.9,2
3,28.15,5
1.5,11.59,2
1.44,7.74,2
3.09,30.14,4
2.2,12.16,2
3.48,13.42,2
1.92,8.58,1
3,15.98,3
1.58,13.42,2
2.5,16.27,2
2,10.09,2
3,20.45,4
2.72,13.28,2
2.88,22.12,2
2,24.01,4
3,15.69,3
3.39,11.61,2
1.47,10.77,2
3,15.53,2
1.25,10.07,2
1,12.6,2
1.17,32.83,2
4.67,35.83,3
5.92,29.03,3
2,27.18,2
2,22.67,2
1.75,17.82,2
3,18.78,2
